idacr,yrend,gdppc,pop
AUS,1936,8792.0,6783.0
AUS,1937,9159.0,6841.0
AUS,1938,9382.0,6904.0
AUS,1939,9318.0,6971.0
AUS,1940,9828.0,7042.0
AUS,1941,10820.0,7111.0
AUS,1942,11963.0,7173.0
AUS,1943,12278.0,7236.0
AUS,1944,11735.0,7309.0
AUS,1945,11026.0,7389.0
AUS,1946,10512.0,7474.0
AUS,1947,10622.0,7578.0
AUS,1948,11105.0,7715.0
AUS,1949,11536.0,7919.0
AUS,1950,11815.0,8267.337
AUS,1951,11966.0,8510.6
AUS,1952,11824.0,8691.212
AUS,1953,11963.0,8857.924
AUS,1954,12419.0,9064.017
AUS,1955,12795.0,9277.087
AUS,1956,12924.0,9500.606
AUS,1957,12895.0,9712.569
AUS,1958,13238.0,9915.267
AUS,1959,13753.0,10131.729
AUS,1960,14013.0,10361.273
AUS,1961,13793.0,10598.814
AUS,1962,14389.0,10794.968
AUS,1963,14983.0,11001.483
AUS,1964,15699.0,11218.304
AUS,1965,16182.0,11439.384
AUS,1966,16324.0,11655.083
AUS,1967,17108.0,11872.264
AUS,1968,17770.0,12101.66
AUS,1969,18428.0,12379.384
AUS,1970,19166.0,12660.16
AUS,1971,19590.0,12937.2
AUS,1972,19772.0,13177.0
AUS,1973,20527.0,13380.4
AUS,1974,20698.0,13599.1
AUS,1975,20993.0,13771.4
AUS,1976,21613.0,13915.5
AUS,1977,21592.0,14074.1
AUS,1978,21948.0,14248.6
AUS,1979,22826.0,14421.9
AUS,1980,22972.0,14615.9
AUS,1981,23368.0,14923.26
AUS,1982,22972.0,15162.0
AUS,1983,22697.0,15348.0
AUS,1984,24009.0,15510.0
AUS,1985,24927.0,15695.0
AUS,1986,25116.0,15900.0
AUS,1987,25971.0,16137.0
AUS,1988,26702.0,16400.0
AUS,1989,27407.0,16681.0
AUS,1990,27373.0,16956.0
AUS,1991,26861.275,17162.39511
AUS,1992,27560.1783,17338.17659
AUS,1993,28622.4758,17498.15748
AUS,1994,29844.1713,17669.98882
AUS,1995,30690.0624,17894.15958
AUS,1996,31740.4697,18101.54222
